Landmark_Name,Landmark_Alternate_Name,BuildType,USE_ORIG,Use_Second,Use_Tertia,Borough,Neighborhood,Address,latitude,longitude,geometry,FID,OBJECTID,Block,Lot,BBL_Code,Shape_Leng,Shape_Area,URL_IMAGE
Eglise de Notre Dame,"",Church,"Religious, church, Roman Catholic","","",Manhattan,Morningside Heights,Morningside Drive at West 114th Street,40.80509,-73.9604,Point,802,467,1867,20,1018670020,565.3631,17278.264,http://www1.nyc.gov/assets/lpc/images/content/designations/0301.jpg
Our Lady of Lourdes Roman Catholic Church,"",Church,"Religious, church, Roman Catholic","","",Manhattan,Hamilton Heights,467 West 142nd Street,40.823257,-73.94826,Point,987,653,2058,33,1020580033,358.29926,7831.0225,http://www1.nyc.gov/assets/lpc/images/content/designations/0892.jpg
"Fire Engine Company 258, Hook and Ladder Company 115","",Fire Station,"Civic, fire station","","",Queens,Long Island City,10-40 47th Avenue,40.744995,-73.95171,Point,1204,68,46,34,4000460034,308.71378,5313.8765,http://www1.nyc.gov/assets/lpc/images/content/designations/2200.jpg
Actors Studio,originally the Seventh Associate Presbyterian Church,Church,"Religious, church, Presbyterian",Drama school,"",Manhattan,Theatre District,432 West 44th Street,40.760178,-73.993324,Point,1401,265,1053,49,1010530049,299.94482,4952.8203,http://www1.nyc.gov/assets/lpc/images/content/designations/1814.jpg
Public School 34,also known as the Oliver H. Perry School,School,"Civic, school","","",Brooklyn,Greenpoint,131 Norman Avenue,40.726387,-73.94976,Point,465,931,2622,28,3026220028,644.33575,24077.97,http://www1.nyc.gov/assets/lpc/images/content/designations/1288.jpg
Shearith Israel Synagogue,(the Spanish and Portuguese Synagogue),Synagogue,"Religious, synagogue, Sephardic","","",Manhattan,Lincoln Square,99 Central Park West,40.774887,-73.97734,Point,586,1053,1122,36,1011220036,379.03882,8525.557,http://www1.nyc.gov/assets/lpc/images/content/designations/0832.jpg
Midtown Theater,later the Metro Theater,Theater,"Commercial, theater","","",Manhattan,Theatre District,2624-2626 Broadway,40.79669,-73.9698,Point,832,497,1871,22,1018710022,316.68335,5519.4756,http://www1.nyc.gov/assets/lpc/images/content/designations/1710.jpg
Staten Island Borough Hall,"",City Hall,"Civic, city hall","","",Staten Island,"Stapleton, Rosebank",2-10 Richmond Terrace,40.64241,-74.07596,Point,1144,8,7,1,5000070001,889.1849,54479.516,http://www1.nyc.gov/assets/lpc/images/content/designations/1207.jpg
Standard Oil Building,"",Office Building,"Commercial, office building","","",Manhattan,Financial District,26 Broadway,40.705437,-74.0129,Point,1258,122,22,13,1000220013,872.35406,48769.188,http://www1.nyc.gov/assets/lpc/images/content/designations/1930.jpg
Henry Miller's Theater,"",Theater,"Commercial, theater",Theater,Movie theater; dance club,Manhattan,Theatre District,124-130 West 43rd Street,40.75584,-73.98496,Point,65,1272,995,33,1009950033,371.62054,8569.966,http://www1.nyc.gov/assets/lpc/images/content/designations/1357.jpg
